Hindi,English
माँ,mother
पिता,father
भाई,brother
बहन,sister
परिवार,family
घर,house
कमरा,room
दरवाज़ा,door
खिड़की,window
कुर्सी,chair
मेज़,table
स्कूल,school
कॉलेज,college
शिक्षक,teacher
विद्यार्थी,student
दोस्त,friend
किताब,book
कलम,pen
पेंसिल,pencil
कागज़,paper
बैग,bag
पानी,water
भोजन,food
चावल,rice
दूध,milk
चाय,tea
कॉफ़ी,coffee
फल,fruit
सब्ज़ी,vegetable
सेब,apple
केला,banana
आम,mango
समय,time
दिन,day
सप्ताह,week
महीना,month
साल,year
सुबह,morning
दोपहर,afternoon
शाम,evening
रात,night
आज,today
कल,tomorrow
बीता कल,yesterday
खुशी,happiness
दुख,sadness
गुस्सा,anger
प्यार,love
आशा,hope
डर,fear
जीवन,life
मृत्यु,death
पैसा,money
काम,work
नौकरी,job
कार्यालय,office
अस्पताल,hospital
डॉक्टर,doctor
नर्स,nurse
मरीज़,patient
दवा,medicine
सड़क,road
वाहन,vehicle
कार,car
बस,bus
रेलगाड़ी,train
हवाई जहाज़,airplane
साइकिल,bicycle
बाज़ार,market
दुकान,shop
कीमत,price
खरीदना,buy
बेचना,sell
भुगतान करना,pay
बगीचा,garden
पेड़,tree
फूल,flower
पत्ता,leaf
सूरज,sun
चाँद,moon
तारा,star
आसमान,sky
बारिश,rain
हवा,wind
आग,fire
धरती,earth
समुद्र,sea
नदी,river
पहाड़,mountain
जानवर,animal
कुत्ता,dog
बिल्ली,cat
पक्षी,bird
मछली,fish
घोड़ा,horse
गाय,cow
बच्चा,child
आदमी,man
औरत,woman
