,Unnamed: 0,Hindi,English
0,0,माँ,mother
1,1,पिता,father
2,2,भाई,brother
3,3,बहन,sister
4,4,परिवार,family
5,5,घर,house
6,6,कमरा,room
7,7,दरवाज़ा,door
8,8,खिड़की,window
9,9,कुर्सी,chair
10,10,मेज़,table
11,11,स्कूल,school
12,12,कॉलेज,college
13,13,शिक्षक,teacher
14,14,विद्यार्थी,student
15,15,दोस्त,friend
16,16,किताब,book
17,17,कलम,pen
18,18,पेंसिल,pencil
19,19,कागज़,paper
20,20,बैग,bag
21,21,पानी,water
22,22,भोजन,food
23,23,चावल,rice
24,24,दूध,milk
25,25,चाय,tea
26,26,कॉफ़ी,coffee
27,27,फल,fruit
28,28,सब्ज़ी,vegetable
29,29,सेब,apple
30,30,केला,banana
31,31,आम,mango
32,32,समय,time
33,33,दिन,day
34,34,सप्ताह,week
35,35,महीना,month
36,36,साल,year
37,37,सुबह,morning
38,38,दोपहर,afternoon
39,39,शाम,evening
40,40,रात,night
41,41,आज,today
42,42,कल,tomorrow
43,43,बीता कल,yesterday
44,44,खुशी,happiness
45,45,दुख,sadness
46,46,गुस्सा,anger
47,47,प्यार,love
48,48,आशा,hope
49,49,डर,fear
50,50,जीवन,life
51,51,मृत्यु,death
52,52,पैसा,money
53,53,काम,work
54,54,नौकरी,job
55,55,कार्यालय,office
56,56,अस्पताल,hospital
57,57,डॉक्टर,doctor
58,58,नर्स,nurse
59,59,मरीज़,patient
60,60,दवा,medicine
61,61,सड़क,road
62,62,वाहन,vehicle
63,63,कार,car
64,64,बस,bus
65,65,रेलगाड़ी,train
66,66,हवाई जहाज़,airplane
67,67,साइकिल,bicycle
68,68,बाज़ार,market
69,69,दुकान,shop
70,70,कीमत,price
71,71,खरीदना,buy
72,72,बेचना,sell
73,73,भुगतान करना,pay
74,74,बगीचा,garden
75,75,पेड़,tree
76,76,फूल,flower
77,77,पत्ता,leaf
78,78,सूरज,sun
79,79,चाँद,moon
80,80,तारा,star
81,81,आसमान,sky
82,82,बारिश,rain
83,83,हवा,wind
84,84,आग,fire
85,85,धरती,earth
86,86,समुद्र,sea
87,88,पहाड़,mountain
88,89,जानवर,animal
89,90,कुत्ता,dog
90,91,बिल्ली,cat
91,92,पक्षी,bird
92,94,घोड़ा,horse
93,95,गाय,cow
94,96,बच्चा,child
95,97,आदमी,man
96,98,औरत,woman
